id,long,lat,facility,type,ownership,status,ward_code,ward_name,lga_code,lga_name
39,7.733726,11.108181,Josam Hospital,Primary,Public,Unknown,KD1910,Unguwar Gabas,19019,Sabon Gari
40,8.628554,10.201373,Kurmin Dodo Health Clinic,Primary,Public,Functional,KD1703,Garu Mariri,19017,Lere
41,7.686523,10.31891,Kajuru Government Technical College Primary Health Center,Primary,State Primary HealthCare Development Agency,Unknown,KD1204,Kajuru,19012,Kajuru
42,8.459401,9.229297,Sanga Medical Center,Primary,Public,Unknown,KD2005,Gwantu,19020,Sanga
43,7.33829,9.43325,Allah Magani Clinic,Primary,Public,Unknown,KD1102,Iddah,19011,Kagarko
44,8.255554,11.216235,Auchunawa Basic Health Center,Primary,Public,Unknown,KD0502,Ikara,19005,Ikara
45,7.847,10.1015,Iri Station Health Clinic,Primary,Public,Functional,KD1203,Idon,19012,Kajuru
46,7.946898,9.587729,Kurmin Jatau Primary Health Center,Primary,Public,Functional,KD0605,Fai,19006,Jaba
47,7.452693,10.58203,Victory Specialist Hopital,Tertiary,Private,Unknown,KD0905,Kawo,19009,Kaduna North
48,8.127581,10.741698,Zumunchi Maternity Home,Primary,Public,Unknown,KD1510,Zabi,19015,Kubau
49,8.29687,9.20232,Ashe Primary Health Center,Primary,State Primary HealthCare Development Agency,Unknown,KD2002,Arak,19020,Sanga
50,8.580209,9.133016,Ninzo North Health Center,Primary,Public,Unknown,KD2008,Ninzo North,19020,Sanga
51,7.803675,9.520084,Kushe Pada Primary Health Center,Primary,Public,Functional,KD1110,Kushe,19011,Kagarko
52,8.347042,11.183975,Kargo Health Clinic,Primary,Public,Functional,KD0510,Saya Saya,19005,Ikara
53,7.738065,11.126449,Hayin Ojo Health Clinic,Primary,Public,Functional,KD1911,Zabi,19019,Sabon Gari
54,8.074707031,9.924072266,Fansil Health Clinic,Primary,State Ministry Of Health,Unknown,KD2203,Ikulu,19022,Zangon Kataf
55,8.38966,9.47291,College Of Education Medical Center,Others,Post Secondary School,Unknown,KD0704,Gidan Waya,19007,Jema'A
56,7.44157,10.472705,Tudun Muntsira Tuberclosis Maternity And Child Health Clinic Narayi,Primary,Public,Functional,KD0207,Narayi,19002,Chikun
57,7.57559,10.83006,Kim Maternity Hospital,Primary,Public,Unknown,KD0402,Birnin Yero,19004,Igabi
58,6.941897,10.635517,Udawa Primary Health Center,Primary,Public,Functional,KD0205,Kunai,19002,Chikun
59,8.27909,10.68254,Sabon Layi Tafiyau Health Post,Primary,Public,Unknown,KD1509,Pambegua,19015,Kubau
60,7.711918,11.041776,Model Primary Health Care Anguwan Bishar,Primary,Public,Functional,KD2304,Kaura,19023,Zaria
61,8.23311,11.14219,Janfalan Maternity And Nursing Home,Others,Private,Unknown,KD0503,Jampalan,19005,Ikara
62,8.295772,9.584547,Rahama Hospital,Tertiary,Private,Unknown,KD0708,Kafanchan B,19007,Jema'A
63,7.823596,11.313654,Kauran Wali North Model Primary Health Care Center,Primary,Public,Functional,KD1604,Kauran Wali North,19016,Kudan
64,7.897392,10.942324,Fagaci Health Post,Primary,Public,Functional,KD2105,Kinkiba,19021,Soba
65,7.813543164,9.446638418,Kubacha Model Primary Health Center,Primary,Others,Functional,KD1107,Katugal,19011,Kagarko
66,7.46556,10.44705,Oniett Clinic,Unknown,Unknown,Unknown,KD0211,Sabon Tasha,19002,Chikun
67,7.4457414,10.5815386,Gidan Sarki Health Post,Unknown,Unknown,Functional,KD0905,Kawo,19009,Kaduna North
68,7.723772,11.104095,Mayfair Specialist Clinic,Tertiary,Private,Unknown,KD1907,Jushi,19019,Sabon Gari
69,7.746232,10.709903,Gadangayan Primary Health Care,Primary,Public,Functional,KD0403,Fanshanu,19004,Igabi
70,7.722434,11.182495,Sakadadi Primary Health Center,Primary,Public,Functional,KD1904,Dogarawa,19019,Sabon Gari
71,6.274674,10.499608,Kungi Primary Health Center,Primary,Public,Functional,KD0106,Randagi,19001,Birnin Gwari
72,7.46052,10.52132,Hitaf Sp Hospital,Others,Private,Unknown,KD0910,Unguwar Rimi,19009,Kaduna North
73,7.322733556,11.05976476,Primary Health Center Galadimawa,Primary,Others,Functional,KD0302,Galadimawa,19003,Giwa
74,8.12344,10.53471,Unguwan Ganye Clinic,Unknown,Unknown,Unknown,KD1408,Kauru West,19014,Kauru
75,7.468856,11.254923,Giwa Dispensary,Primary,Public,Unknown,KD0304,Giwa,19003,Giwa
76,7.66286,11.21266,Dufa Dufa Health Center,Primary,Public,Functional,KD1608,Sabon Garin,19016,Kudan
77,7.384639108,11.33790853,Gangara Primary Health Center,Primary,State Primary HealthCare Development Agency,Unknown,KD0303,Gangara,19003,Giwa
78,8.594158,9.246632,Agape Clinic And Maternity,Tertiary,Private,Unknown,KD2003,Ayu,19020,Sanga
79,7.72051,11.10571,Opposite Nipost Primary Health Center Office,Unknown,Unknown,Unknown,KD1905,Hanwa,19019,Sabon Gari
80,8.114814,9.102564,Zebeh,Others,Public,Unknown,KD2011,Wasa,19020,Sanga
81,8.32459,10.17108,Bital Clinic,Unknown,Unknown,Unknown,KD1402,Bital,19014,Kauru
82,6.55048,10.65663,Kagi Health Center,Primary,State Primary HealthCare Development Agency,Unknown,KD0103,Magajin Gari 1,19001,Birnin Gwari
83,7.641528,10.987723,Dutsen Abba Health Clinic,Primary,Public,Functional,KD2301,Dutsen Abba,19023,Zaria
84,7.809144,11.285207,Dankala Health Care,Primary,Private,Functional,KD1609,Taba,19016,Kudan
85,7.528778,10.554472,Doka Primary Health Center,Primary,Public,Functional,KD0204,Kujama,19002,Chikun
86,8.29047,10.003794,Ikulu Health Post,Primary,Public,Unknown,KD2203,Ikulu,19022,Zangon Kataf
87,7.41025,10.524824,Ungwan Sanusi Primary Health Center,Primary,Public,Functional,KD1013,Unguwan Sanusi,19010,Kaduna South
88,7.730417,11.104937,Chikaji Comprehensive Health Center,Primary,Public,Unknown,KD1903,Chikaji,19019,Sabon Gari
89,8.089165,11.271884,Unguwar Jaji Clinic,Primary,Public,Functional,KD1806,Gwanki,19018,Makarfi
90,6.794642,11.086305,Magajin Gari Iii Health Center,Primary,Public,Unknown,KD0105,Magajin Gari 3,19001,Birnin Gwari
91,8.046366,9.498719,Chori Bariki Health Post,Primary,Public,Functional,KD0601,Chori,19006,Jaba
92,7.443634,10.502028,Kabala Primary Health Center,Primary,Public,Functional,KD0904,Kabala,19009,Kaduna North
93,8.46829,9.25174,Gwantu Kurmi Health Clinic,Primary,State Primary HealthCare Development Agency,Functional,KD2005,Gwantu,19020,Sanga
94,7.573453,9.602131,Katon Kasa Health Clinic,Primary,Public,Functional,KD0803,Awon,19008,Kachia
95,7.417268,10.521437,Yusuf Dantsoho Memorial Hospital,Primary,Public,Unknown,KD1008,Tudun Nupawa,19010,Kaduna South
96,8.275732,9.802775,Ramai Health Clinic,Primary,Public,Unknown,KD2210,Zonkwa,19022,Zangon Kataf
97,7.754065,9.832945,Barga Health Post,Primary,Public,Functional,KD0803,Awon,19008,Kachia
98,7.943481445,10.51593018,Lafiya Health Clinic,Primary,State Ministry Of Health,Unknown,KD1404,Dawaki,19014,Kauru
99,8.58547,9.47679,Nabara Clinic,Others,Private,Unknown,KD2001,Aboro,19020,Sanga
100,7.582911,10.626116,Ruhogi Primary Health Center,Primary,Public,Functional,KD0407,Kwarau,19004,Igabi
101,7.874332699,9.638385752,Dogon Daji Health Clinic,Primary,State Ministry Of Health,Unknown,KD1101,Aribi,19011,Kagarko
102,7.88072,11.007668,Kinkiba Health Post,Primary,Public,Functional,KD2105,Kinkiba,19021,Soba
103,8.3019717,9.600435,Health Clinic Asian 2,Primary,Others,Functional,KD0711,Maigizo,19007,Jema'A
104,7.779515,10.970687,Wuciciri Primary Health Center,Primary,Public,Functional,KD2313,Wuciciri,19023,Zaria
105,7.439758,10.451934,My Children Hospital,Primary,Public,Unknown,KD0207,Narayi,19002,Chikun
106,8.06417,10.28082,Himma Nursing Maternity Clinic,Others,Private,Unknown,KD2203,Ikulu,19022,Zangon Kataf
107,8.633248,10.381705,Sabon Brinin Health Center,Primary,Public,Functional,KD1710,Sabon Birnin,19017,Lere
108,6.542681856,10.66028948,Health Center Kungi,Primary,Others,Functional,KD0103,Magajin Gari 1,19001,Birnin Gwari
109,8.3116096,9.5062408,Health Clininc Goska,Unknown,Others,Unknown,KD0710,Kaninkon,19007,Jema'A
110,7.9458,9.69789,Tulsi Health Clinic Walijo,Primary,State Primary HealthCare Development Agency,Unknown,KD0811,Kwaturu,19008,Kachia
111,8.318597057,9.487068791,Dangoma Health Clinic,Primary,State Ministry Of Health,Unknown,KD0710,Kaninkon,19007,Jema'A
112,7.409957,10.435225,Mercy Home Clinic,Primary,Public,Unknown,KD0212,Yelwa,19002,Chikun
113,8.148962,10.727921,Unguwar Dogo Primary Health Center,Primary,Public,Functional,KD1510,Zabi,19015,Kubau
114,8.53597,9.86469,Kurmin Risga Primary Health Clinic,Primary,Public,Functional,KD1401,Badurum,19014,Kauru
115,7.594727,10.731216,Kangimi Health Post,Primary,Public,Functional,KD0407,Kwarau,19004,Igabi
116,7.205735,10.483119,Kasaya Primary Health Center,Primary,Public,Functional,KD0205,Kunai,19002,Chikun
117,8.319383,11.130002,Haske Clinic Unguwan Gayya,Primary,Public,Functional,KD1506,Kargi,19015,Kubau
118,8.244319728,10.64373693,Kwassam Primary Health Center,Primary,Others,Functional,KD1509,Pambegua,19015,Kubau
119,8.566284,9.219482,Tari Health Clinic,Primary,State Ministry Of Health,Functional,KD2003,Ayu,19020,Sanga
120,8.468528,10.635002,Yarkasuwa Health Center,Primary,Public,Functional,KD1706,Kudaru,19017,Lere
121,7.452732,10.52884,Nigerian Institute For Trypanosomiasis Research,Primary,Public,Functional,KD0910,Unguwar Rimi,19009,Kaduna North
122,8.229122647,10.68250563,Sabon Layi Health Clinic,Primary,State Ministry Of Health,Unknown,KD1509,Pambegua,19015,Kubau
123,7.668237151,10.36803545,Unguwan Rimi Health Clinic,Primary,State Ministry Of Health,Unknown,KD1204,Kajuru,19012,Kajuru
124,8.458146,9.666532,Amaks Health Clinic,Primary,Public,Unknown,KD1305,Kaura,19013,Kaura
125,7.407503,10.439697,Jadan Clinic And Maternity,Primary,Public,Unknown,KD1012,Television,19010,Kaduna South
126,8.708182,10.393696,Abadawa Primary Health Center,Primary,Public,Functional,KD1701,Abadawa,19017,Lere
127,8.12621,9.42895,Wazo Health Care,Primary,State Primary HealthCare Development Agency,Functional,KD0701,Asso,19007,Jema'A
128,7.967389,10.418283,Libere Health Dispensary,Primary,Public,Functional,KD1205,Kallah,19012,Kajuru
129,8.558936,9.52785,Tajak Health Clinic,Primary,Public,Functional,KD0702,Atuku,19007,Jema'A
130,8.378299,9.880434,Takanai Clinic,Primary,Public,Functional,KD2202,Gora,19022,Zangon Kataf
131,7.687739,9.491541,Kagarko General Hospital,Primary,Public,Functional,KD1106,Kagarko South,19011,Kagarko
132,7.91707,11.03395,Tudun Saibu Medical Center,Others,Private,Unknown,KD2107,Maigana,19021,Soba
133,8.09492,9.628241,Gidan Jibir Primary Health Center,Primary,Public,Functional,KD0810,Kurmin Musa,19008,Kachia
134,7.650811,10.480873,Rural Hospital Kujama,Primary,Public,Functional,KD0204,Kujama,19002,Chikun
135,7.602863,10.941942,Tumbau Health Post,Primary,Public,Functional,KD0406,Kerawa,19004,Igabi
136,8.36281,10.6878,Jiddah Health Clinic,Primary,Public,Functional,KD1505,Kareh,19015,Kubau
137,7.373772,10.479088,Sabon Gari Primary Health Care Clinic,Primary,Public,Functional,KD0210,Sabon Gari Nassarawa,19002,Chikun
138,7.793407,10.887476,Sheka Health Center,Primary,Public,Functional,KD0405,Igabi,19004,Igabi
139,7.659841,10.873873,Bargu Health Facility,Primary,Public,Functional,KD0411,Turunku,19004,Igabi
140,7.874823,9.843464,Asibitin Ankwa Primary Health Clinic,Primary,Public,Functional,KD0802,Ankwa,19008,Kachia
141,8.384623606,9.245773399,Albarka Clinic,Others,Private,Unknown,KD2002,Arak,19020,Sanga
142,8.298816,9.933267,Gan Gora Primary Health Center,Primary,Public,Functional,KD2202,Gora,19022,Zangon Kataf
143,7.49168,10.44664,Solid Foundation Clinic,Unknown,Unknown,Unknown,KD0211,Sabon Tasha,19002,Chikun
144,7.82714026,10.3963548,Unguwar Musa Dispensary,Primary,State Primary HealthCare Development Agency,Unknown,KD1205,Kallah,19012,Kajuru
145,8.384166,10.27393,Dingi Clinic,Primary,Public,Functional,KD1405,Geshere,19014,Kauru
146,7.685888,11.007364,Dorayi Health Clinic,Primary,Public,Functional,KD2301,Dutsen Abba,19023,Zaria
147,8.6028,9.94899,Fadan Chawai Health Clinic,Primary,State Primary HealthCare Development Agency,Functional,KD1403,Damakasuwa,19014,Kauru
148,7.721579,9.49988,Akoti Primary Health Center,Primary,Public,Functional,KD1105,Kagarko North,19011,Kagarko
149,7.4545,10.55682,Eagle Hospital Malali Gra,Tertiary,Private,Unknown,KD0901,Badarawa,19009,Kaduna North
150,7.967075,9.864983333,Kwagiri Health Center,Unknown,Unknown,Functional,KD0807,Gumel,19008,Kachia
151,7.442025214,10.47387191,Rencia Clinic,Unknown,Unknown,Unknown,KD0207,Narayi,19002,Chikun
152,8.143374,9.584627,Kurmin Zomo Health Clinic,Primary,Public,Unknown,KD0602,Daddu,19006,Jaba
153,7.703755,11.072071,Unguwar Alkali Primary Health Center,Primary,Public,Functional,KD2307,Kwarbai B,19023,Zaria
154,7.47021,10.53515,Mend Speacialist Hospital,Tertiary,Private,Functional,KD0910,Unguwar Rimi,19009,Kaduna North
155,8.20831,9.38754,Jagindi Primary Health Care,Unknown,Unknown,Unknown,KD0706,Jagindi,19007,Jema'A
156,7.413485,10.464823,Kakuri Hausa Primary Health Center,Primary,Public,Functional,KD1004,Kakuri Hausa,19010,Kaduna South
157,8.38072,10.6894,7th Adventist Clinic,Primary,NGO/Humanitarian,Unknown,KD1706,Kudaru,19017,Lere
158,7.692824,11.048546,Danjinjiri Health Post,Primary,Public,Functional,KD2312,Unguwar Juma,19023,Zaria
159,8.74877,10.486241,Unguwan Sarki Iman Maternal Health,Primary,Public,Unknown,KD1702,Dan Alhaji,19017,Lere
160,8.02003,10.93757,Bakura Health Clinic,Primary,Public,Functional,KD2103,Garu,19021,Soba
161,8.632322,9.383193,Kubal Health Clinic,Primary,Public,Functional,KD2001,Aboro,19020,Sanga
162,7.484323,10.538192,Dan Bushiya Dispensary,Primary,Public,Functional,KD0209,Rido,19002,Chikun
163,8.296799,9.543683,Ungwar Fari Primary Health Center,Primary,Public,Unknown,KD0710,Kaninkon,19007,Jema'A
164,7.698451,9.97038,Gabachuwa Health Clinic,Primary,Public,Functional,KD0802,Ankwa,19008,Kachia
165,7.09496,11.118303,Dogon Dawa Health Center,Primary,Public,Functional,KD0108,Dogondawa,19001,Birnin Gwari
166,7.5394,11.21704,Maraban Guga Health Clinic,Primary,Public,Functional,KD0309,Shika,19003,Giwa
167,7.415867,10.524132,Shehu Muhammad Kangiwa Medical Center Kaduna Polytechnic,Primary,Public,Unknown,KD1013,Unguwan Sanusi,19010,Kaduna South
168,8.280592,10.154572,Kidugu Model Primary Health Center,Primary,Public,Functional,KD1402,Bital,19014,Kauru
169,7.435693,10.486027,Harmony Hospital Limited,Tertiary,Private,Functional,KD1002,Barnawa,19010,Kaduna South
170,8.104938,9.475257,Fori Health Clinic,Primary,Public,Functional,KD0709,Kagoma,19007,Jema'A
171,8.624589,10.589072,Wawan Rafi Health Post,Primary,Public,Functional,KD1702,Dan Alhaji,19017,Lere
172,7.96623,9.78076,Bitaro Primary Health Center,Primary,State Primary HealthCare Development Agency,Unknown,KD0807,Gumel,19008,Kachia
173,7.741272,9.346497,Ungwan Pai Koro Primary Health Center,Primary,State Primary HealthCare Development Agency,Unknown,KD1110,Kushe,19011,Kagarko
174,8.215971,9.837881,Kamuru Dutse Primary Health Center,Primary,Public,Functional,KD2203,Ikulu,19022,Zangon Kataf
175,7.425895,10.455165,Amina Hospital And Maternity,Primary,Public,Functional,KD1002,Barnawa,19010,Kaduna South
176,7.825037,10.688617,Fanturawa Health Post,Primary,Public,Functional,KD0403,Fanshanu,19004,Igabi
177,8.022405,9.564781,Arzuka Health Post,Primary,Public,Functional,KD0601,Chori,19006,Jaba
178,7.6637309,11.2831917,Primary Health Center Sabon Garin,Primary,Others,Unknown,KD1608,Sabon Garin,19016,Kudan
179,8.400171,9.61023,Tswot Health Clinic,Primary,Public,Functional,KD1306,Kpak,19013,Kaura
180,8.513058333,9.628106667,Sabon Gari Zankan Primary Health Care,Unknown,Unknown,Functional,KD1310,Zankan,19013,Kaura
181,7.398453,10.50717,Hauwa Nursing And Maternity,Primary,Public,Unknown,KD1006,Sabon Gari North,19010,Kaduna South
182,7.385797,10.047323,Rijiana Health Clinic,Primary,Public,Functional,KD0805,Dokwa,19008,Kachia
183,7.43717,10.49967,Skills Specialist Hospital,Unknown,Unknown,Unknown,KD0904,Kabala,19009,Kaduna North
184,7.435701,11.340149,Wardanga Health Clinic,Primary,Public,Functional,KD0304,Giwa,19003,Giwa
185,7.52166,10.335361,Kankomi Health Clinic,Primary,Public,Functional,KD0203,Kakau,19002,Chikun
186,8.167821,9.692349,Abet Health Facility,Primary,Public,Functional,KD2201,Gidan Jatau,19022,Zangon Kataf
187,8.166436,9.430207,Asso Primary Health Care,Primary,Public,Functional,KD0701,Asso,19007,Jema'A
188,8.540766,9.505874,Gidan Waya Health Center,Primary,Public,Unknown,KD0704,Gidan Waya,19007,Jema'A
189,7.749486,11.080206,Adalchi Nursing Home,Primary,Public,Unknown,KD2302,Dambo,19023,Zaria
190,8.655215,10.442147,Ecwa Comprehensive Health Care Anguwan Bawa,Primary,NGO/Humanitarian,Unknown,KD1710,Sabon Birnin,19017,Lere
191,7.7338538,11.1307807,Primary Health Center Hayin Ojo,Primary,Others,Functional,KD1911,Zabi,19019,Sabon Gari
192,8.1434668,9.4836617,Health Center Fido,Primary,Others,Functional,KD0709,Kagoma,19007,Jema'A
193,7.96005,11.25028,Nasarawan Doy Primary Health Care,Primary,State Primary HealthCare Development Agency,Unknown,KD1808,Meyari,19018,Makarfi
194,8.21248,9.562811,Afana Health Clinic,Primary,Public,Functional,KD2207,Unguwan Rimi,19022,Zangon Kataf
195,8.09753,11.36594,Jama'a Clinic And Maternity,Primary,Public,Unknown,KD0505,Kuya,19005,Ikara
196,8.17371,9.3338,Kussom Health Clinic,Primary,Public,Functional,KD0701,Asso,19007,Jema'A
197,8.113708,9.999329,Anchuna Health Clinic,Primary,State Ministry Of Health,Functional,KD2203,Ikulu,19022,Zangon Kataf
198,7.361319419,9.418114159,Primary Health Center Iddah,Primary,Others,Functional,KD1102,Iddah,19011,Kagarko
199,8.32879,9.31439,Ninte,Others,Others,Unknown,KD0706,Jagindi,19007,Jema'A
200,8.35689,9.43038,Godogodo Ecwa Health And Maternity,Others,Missions/Religious,Unknown,KD0705,Godogodo,19007,Jema'A
201,8.278153904,9.575674172,Zigwai Clinic,Primary,State Primary HealthCare Development Agency,Unknown,KD2207,Unguwan Rimi,19022,Zangon Kataf
202,8.689853333,10.408745,Child Health Center,Unknown,Unknown,Functional,KD1711,Saminaka,19017,Lere
203,7.847424,11.052221,Yakasai Primary Health Clinic,Primary,Public,Functional,KD2107,Maigana,19021,Soba
204,8.02761,11.363468,Kukumi,Others,Public,Functional,KD0508,Rumi,19005,Ikara
205,8.16676,10.576685,Basic Health Care,Unknown,Unknown,Non Functional/Newly Commisioned,KD1408,Kauru West,19014,Kauru
206,7.380604,11.306664,Tsabtawa Primary Health Clinic,Primary,Public,Functional,KD0303,Gangara,19003,Giwa
207,7.648271667,11.16201167,Primary Health Center Samaru,Primary,Others,Functional,KD1909,Samaru,19019,Sabon Gari
208,7.297354,11.163066,Kofar Fada Primary Health Care,Primary,Public,Functional,KD0305,Idasu,19003,Giwa
209,7.417322,10.54959,Mashi Hospital,Primary,Public,Functional,KD1001,Badiko,19010,Kaduna South
210,8.613098,9.16687,Agamati Ercc Clinic,Others,NGO/Humanitarian,Unknown,KD2003,Ayu,19020,Sanga
211,7.684903333,10.32272,Mai Zana Primary Health Center,Unknown,Unknown,Functional,KD1204,Kajuru,19012,Kajuru
212,7.412134,10.505129,Garba Lawal Primary Health Center,Primary,Public,Unknown,KD1010,Tudun Wada South,19010,Kaduna South
213,8.374672,10.684268,Maigamo Health Center,Primary,Public,Functional,KD1706,Kudaru,19017,Lere
214,8.39556,10.88619,Danhauya Health Care,Primary,State Primary HealthCare Development Agency,Unknown,KD1502,Damau,19015,Kubau
215,7.969232,11.27482,Kuruntumawa Health Clinic,Primary,Public,Unknown,KD1808,Meyari,19018,Makarfi
216,7.744597,11.089179,Unguwar Malam Sule Health Clinic,Primary,Public,Unknown,KD1907,Jushi,19019,Sabon Gari
217,6.745297266,10.72504731,Health Center Gayam,Primary,Others,Functional,KD0101,Gayam,19001,Birnin Gwari
218,7.672435096,11.14332373,Zango Primary Health Center,Unknown,Unknown,Functional,KD1906,Jama A,19019,Sabon Gari
219,7.860357,11.211257,Sabon Gari Daji Health Post,Primary,Public,Functional,KD1801,Dan Damisa,19018,Makarfi
220,7.731328,11.113106,Kwara Primary Health Care,Primary,Public,Functional,KD1908,Muchiya,19019,Sabon Gari
221,7.550138333,10.78778833,Birnin Yero Tsohuwa Health Center,Unknown,Unknown,Functional,KD0402,Birnin Yero,19004,Igabi
222,8.232924,9.651997,Kamurun Health Clinic,Primary,Public,Functional,KD2201,Gidan Jatau,19022,Zangon Kataf
223,8.462755,9.223077,Gwantu General Hospital,Primary,Public,Functional,KD2005,Gwantu,19020,Sanga
224,7.42259,10.435098,Jassy Clinic Sarki Street,Primary,Public,Unknown,KD0212,Yelwa,19002,Chikun
225,7.35247,9.66076,Kurmi Iya Link Ministry Clinic,Others,Missions/Religious,Unknown,KD0804,Bishini,19008,Kachia
226,7.626997,10.872845,Farakwai Health Clinic,Primary,Public,Functional,KD0411,Turunku,19004,Igabi
227,8.030537,9.521748,Makama Health Post,Primary,Public,Functional,KD0601,Chori,19006,Jaba
228,8.2954372,9.5875698,Health Clinic Sakwak,Primary,Others,Functional,KD0708,Kafanchan B,19007,Jema'A
229,8.364924,10.563276,Rumaiya Primary Health Center,Primary,Public,Functional,KD1706,Kudaru,19017,Lere
230,8.492929,10.829513,Banki Primary Health Clinic,Primary,Public,Functional,KD1502,Damau,19015,Kubau
231,8.434732,10.901869,Ibrahim Umar Clinic Damau,Primary,Public,Unknown,KD1502,Damau,19015,Kubau
232,7.451339,10.448713,Endurance Maternity Home,Primary,Public,Unknown,KD0211,Sabon Tasha,19002,Chikun
233,7.43423,10.51859,Garden City Hospital,Others,Private,Unknown,KD0908,Shaba,19009,Kaduna North
234,8.273498535,11.01849365,Kuraye Primary Health Center,Primary,State Primary HealthCare Development Agency,Unknown,KD1508,Mah,19015,Kubau
235,7.457369,10.476602,Bayan Dutse Primary Health Care,Primary,Public,Functional,KD0207,Narayi,19002,Chikun
236,7.79917,9.44599,Katugal Primary Healthcare Center,Unknown,Unknown,Unknown,KD1107,Katugal,19011,Kagarko
237,7.414838,10.491133,Dwn Quarters Primary Health Center,Primary,Public,Functional,KD1005,Makera,19010,Kaduna South
