FID,geom,geometry_type,latitude,longitude,global_id,name,alternate_name,functional_status,ri_service_status,type,ownership,ward_code,accessibility,cce_quantity,cce_availability,cce_last_updated,mnch2,mnch2_last_updated,ward_name,lga_code,lga_name,state_code,state_name
sv_fc_poi_health_facilities.fid--71209ea8_166ee56fbef_-6070,POINT (6.22758 10.65251),POINT,10.65251,6.22758,dcb00fe9-925e-4f21-9960-b5eb0840534e,Birnin Gwari Health Center,,Unknown,Unknown,Primary,State Primary HealthCare Development Agency,KD0102,,,Unknown,,,,Kakangi,19001,Birnin Gwari,KD,Kaduna
sv_fc_poi_health_facilities.fid--71209ea8_166ee56fbef_-606f,POINT (6.351030000427784 10.646690000126853),POINT,10.646690000126853,6.351030000427784,95c98549-003c-46c8-8106-20c896b4fe46,Ikon Allah Nursing And Maternity,,Unknown,Yes,Primary,Public,KD0102,,,Unknown,,,,Kakangi,19001,Birnin Gwari,KD,Kaduna
sv_fc_poi_health_facilities.fid--71209ea8_166ee56fbef_-606e,POINT (6.207711000049244 10.708756000297797),POINT,10.708756000297797,6.207711000049244,33cc1f19-1d0b-47bf-8433-8df185b285aa,Kakangi Primary Health Center,,Functional,Yes,Primary,Public,KD0102,,1,Yes,2018-02-06,,,Kakangi,19001,Birnin Gwari,KD,Kaduna
sv_fc_poi_health_facilities.fid--71209ea8_166ee56fbef_-606d,POINT (6.23012 10.66733),POINT,10.66733,6.23012,8bc073a4-a3ec-4095-9bbe-476e862ada32,Ungwan Bagudu Health Center,,Unknown,Unknown,Primary,State Primary HealthCare Development Agency,KD0102,,,Unknown,,,,Kakangi,19001,Birnin Gwari,KD,Kaduna
sv_fc_poi_health_facilities.fid--71209ea8_166ee56fbef_-606c,POINT (6.354279999635992 10.649940000335107),POINT,10.649940000335107,6.354279999635992,9700a9a6-aac3-469b-966b-afa1c9b19492,Sabon Layi Primary Health Center,,Functional,Yes,Primary,Public,KD0102,,,Unknown,,,,Kakangi,19001,Birnin Gwari,KD,Kaduna
sv_fc_poi_health_facilities.fid--71209ea8_166ee56fbef_-606b,POINT (6.542681856000001 10.66028948),POINT,10.66028948,6.542681856000001,0c9c962d-a1e4-4746-b449-dc453d4bc0bb,Health Center Kungi,,Functional,Unknown,Primary,Others,KD0103,,,Unknown,,,,Magajin Gari 1,19001,Birnin Gwari,KD,Kaduna
sv_fc_poi_health_facilities.fid--71209ea8_166ee56fbef_-606a,POINT (6.53916 10.65753),POINT,10.65753,6.53916,6f9ad562-aabe-47e3-9f8d-e784d1248adc,First Scan Diagnosis,,Unknown,Yes,Others,Private,KD0103,,,Unknown,,,,Magajin Gari 1,19001,Birnin Gwari,KD,Kaduna
sv_fc_poi_health_facilities.fid--71209ea8_166ee56fbef_-6069,POINT (6.545657999668322 10.666228000401986),POINT,10.666228000401986,6.545657999668322,02203a50-e42a-4995-86e2-6b273b305e17,Badamuwa Nursing Home,,Unknown,Unknown,Tertiary,Private,KD0103,,,Unknown,,,,Magajin Gari 1,19001,Birnin Gwari,KD,Kaduna
sv_fc_poi_health_facilities.fid--71209ea8_166ee56fbef_-6068,POINT (6.5467790004300355 10.663299000411882),POINT,10.663299000411882,6.5467790004300355,95aa2916-c1b8-43fb-b3bc-eb3f1f542064,Unguwan Shittu Health Clinic,,Unknown,Unknown,Primary,Public,KD0103,,,Unknown,,,,Magajin Gari 1,19001,Birnin Gwari,KD,Kaduna
sv_fc_poi_health_facilities.fid--71209ea8_166ee56fbef_-6067,POINT (6.569635999960269 10.638247000390265),POINT,10.638247000390265,6.569635999960269,bc4ac18d-e185-4478-877e-298eee1858e7,Gayam Primary Health Center,,Unknown,Unknown,Primary,Public,KD0103,,,Unknown,,,,Magajin Gari 1,19001,Birnin Gwari,KD,Kaduna
sv_fc_poi_health_facilities.fid--71209ea8_166ee56fbef_-6066,POINT (6.543091 10.66449),POINT,10.66449,6.543091,a91eed02-48e4-4c6d-9059-a128ed8b36ad,Maternal And Child Healthc Birnin Gwari,,Unknown,Yes,Primary,State Primary HealthCare Development Agency,KD0103,,,Unknown,,,,Magajin Gari 1,19001,Birnin Gwari,KD,Kaduna
sv_fc_poi_health_facilities.fid--71209ea8_166ee56fbef_-6065,POINT (6.55048 10.65663),POINT,10.65663,6.55048,0a03588b-b619-4870-9eea-c3b85390511c,Kagi Health Center,,Unknown,Unknown,Primary,State Primary HealthCare Development Agency,KD0103,,,Unknown,,,,Magajin Gari 1,19001,Birnin Gwari,KD,Kaduna
sv_fc_poi_health_facilities.fid--71209ea8_166ee56fbef_-6064,POINT (6.543061155813451 10.654641375295869),POINT,10.654641375295869,6.543061155813451,02c30bf8-1fa8-4662-bbf3-1b3ffec59bf6,Birnin Gwari Maternity Clinic Hospital,,Unknown,Yes,Others,Private,KD0103,,,Unknown,,,,Magajin Gari 1,19001,Birnin Gwari,KD,Kaduna
sv_fc_poi_health_facilities.fid--71209ea8_166ee56fbef_-6063,POINT (6.534698000221567 10.658391000077131),POINT,10.658391000077131,6.534698000221567,671b56d9-9fec-4712-914f-b5fdde418c74,Jmmh B Gwari,,Unknown,Yes,Primary,Public,KD0104,,2,Yes,,,,Magajin Gari 2,19001,Birnin Gwari,KD,Kaduna
sv_fc_poi_health_facilities.fid--71209ea8_166ee56fbef_-6062,POINT (6.536377000362336 10.665454999876772),POINT,10.665454999876772,6.536377000362336,418d4ba6-ad65-4954-8239-9c77fd7e4d0c,Al'umma Nursing Home And Maternityy,,Unknown,Yes,Primary,Public,KD0104,,,Unknown,,,,Magajin Gari 2,19001,Birnin Gwari,KD,Kaduna
sv_fc_poi_health_facilities.fid--71209ea8_166ee56fbef_-6061,POINT (6.426416999649689 10.66363699964154),POINT,10.66363699964154,6.426416999649689,3909e3ec-2854-4397-bd10-6ecbb38c0f12,Rimi Clinic,,Unknown,Unknown,Primary,Public,KD0104,,,Unknown,,,,Magajin Gari 2,19001,Birnin Gwari,KD,Kaduna
sv_fc_poi_health_facilities.fid--71209ea8_166ee56fbef_-6060,POINT (6.52232 10.64467),POINT,10.64467,6.52232,b685b15f-fa43-4588-a5d7-5a61613c58bb,Dogon Hawa Health Center,,Unknown,Unknown,Primary,State Primary HealthCare Development Agency,KD0104,,,Unknown,,,,Magajin Gari 2,19001,Birnin Gwari,KD,Kaduna
sv_fc_poi_health_facilities.fid--71209ea8_166ee56fbef_-605f,POINT (6.55802 10.70609),POINT,10.70609,6.55802,c6ff6319-7a84-4de3-b886-698209294603,Old Birnin Gwari Health Center,,Unknown,Unknown,Primary,State Primary HealthCare Development Agency,KD0104,,,Unknown,,,,Magajin Gari 2,19001,Birnin Gwari,KD,Kaduna
sv_fc_poi_health_facilities.fid--71209ea8_166ee56fbef_-605e,POINT (6.527362000237076 10.648187000143992),POINT,10.648187000143992,6.527362000237076,2cef8932-3597-4876-8604-b7c02cf8978e,Bagoma Primary Health Center,,Unknown,Unknown,Primary,Public,KD0104,,,Unknown,,,,Magajin Gari 2,19001,Birnin Gwari,KD,Kaduna
sv_fc_poi_health_facilities.fid--71209ea8_166ee56fbef_-605d,POINT (6.529563423 10.64680145),POINT,10.64680145,6.529563423,2284c6a6-b704-4854-95f4-a1b5f55e1bd0,Health Clinic Bugai,,Functional,Unknown,Primary,Others,KD0104,,,Unknown,,,,Magajin Gari 2,19001,Birnin Gwari,KD,Kaduna
sv_fc_poi_health_facilities.fid--71209ea8_166ee56fbef_-605c,POINT (6.474155000085432 10.722559999676946),POINT,10.722559999676946,6.474155000085432,68cabe0d-3d8e-4141-8038-cb8dbac7e2ba,Magajin Gari Ii Health Center,,Unknown,Unknown,Primary,Public,KD0104,,,Unknown,,,,Magajin Gari 2,19001,Birnin Gwari,KD,Kaduna
sv_fc_poi_health_facilities.fid--71209ea8_166ee56fbef_-605b,POINT (6.538941000104444 10.667976999590394),POINT,10.667976999590394,6.538941000104444,b4503919-ac74-402e-8967-975821047dcb,Talle Memorial Nursing Andmaternity Home,,Unknown,Yes,Primary,Public,KD0104,,,Unknown,,,,Magajin Gari 2,19001,Birnin Gwari,KD,Kaduna
sv_fc_poi_health_facilities.fid--71209ea8_166ee56fbef_-605a,POINT (6.448882999914304 10.6587230003027),POINT,10.6587230003027,6.448882999914304,a41246dd-0e34-44c9-a8d7-eada65b4190e,Awaro Health Post,,Unknown,Unknown,Primary,Public,KD0104,,,Unknown,,,,Magajin Gari 2,19001,Birnin Gwari,KD,Kaduna
sv_fc_poi_health_facilities.fid--71209ea8_166ee56fbef_-6059,POINT (6.54829 10.66817),POINT,10.66817,6.54829,50d32324-3262-4302-b1dc-7ae327eedb33,Kirazo,,Unknown,Unknown,Others,Others,KD0104,,,Unknown,,,,Magajin Gari 2,19001,Birnin Gwari,KD,Kaduna
sv_fc_poi_health_facilities.fid--71209ea8_166ee56fbef_-6058,POINT (6.537670000240894 10.667821000484366),POINT,10.667821000484366,6.537670000240894,788a5814-81ec-424b-9000-27b373c93250,Unguwan Halidu Health Clinic,,Functional,Yes,Primary,Public,KD0104,,,Yes,2018-02-06,,,Magajin Gari 2,19001,Birnin Gwari,KD,Kaduna
sv_fc_poi_health_facilities.fid--71209ea8_166ee56fbef_-6057,POINT (6.489685 10.61212),POINT,10.61212,6.489685,fcd69522-1823-4d95-8645-f8da1a649efe,Dogon Hawa Primary Health Clinic,,Unknown,Unknown,Primary,State Primary HealthCare Development Agency,KD0104,,,Unknown,,,,Magajin Gari 2,19001,Birnin Gwari,KD,Kaduna
sv_fc_poi_health_facilities.fid--71209ea8_166ee56fbef_-6056,POINT (6.7563769998420184 10.928995999940526),POINT,10.928995999940526,6.7563769998420184,3cdd1ea6-52ba-4ee7-ae2b-996a0f02ec9f,Maganda Primary Health Care,,Functional,Unknown,Primary,Public,KD0105,,,Unknown,,,,Magajin Gari 3,19001,Birnin Gwari,KD,Kaduna
sv_fc_poi_health_facilities.fid--71209ea8_166ee56fbef_-6055,POINT (6.758538617451816 10.92980417703649),POINT,10.92980417703649,6.758538617451816,6b62e12e-8e9b-4922-a74e-9f9da45b7bb7,Maganda Health Center,,Unknown,Unknown,Primary,State Primary HealthCare Development Agency,KD0105,,,Unknown,,,,Magajin Gari 3,19001,Birnin Gwari,KD,Kaduna
sv_fc_poi_health_facilities.fid--71209ea8_166ee56fbef_-6054,POINT (6.90035299966695 11.054660000323281),POINT,11.054660000323281,6.90035299966695,3c6594ec-0fc3-48e1-bc3f-57343a42dd3e,Magajin Gari 3 Primary Health Center,,Unknown,Yes,Primary,Public,KD0105,,,Unknown,,,,Magajin Gari 3,19001,Birnin Gwari,KD,Kaduna
sv_fc_poi_health_facilities.fid--71209ea8_166ee56fbef_-6053,POINT (6.7946419998413035 11.08630499982462),POINT,11.08630499982462,6.7946419998413035,0a9753c1-39f7-4212-ab7c-b60c2c83ef6c,Magajin Gari Iii Health Center,,Unknown,Yes,Primary,Public,KD0105,,,Unknown,,,,Magajin Gari 3,19001,Birnin Gwari,KD,Kaduna
sv_fc_poi_health_facilities.fid--71209ea8_166ee56fbef_-6052,POINT (6.571240000050125 10.906826999877751),POINT,10.906826999877751,6.571240000050125,b7ef5fc3-1b5c-494f-9961-6f5d23ef8fdc,Gwaska Primary Health Center,,Unknown,Unknown,Primary,Public,KD0105,,,Unknown,,,,Magajin Gari 3,19001,Birnin Gwari,KD,Kaduna
sv_fc_poi_health_facilities.fid--71209ea8_166ee56fbef_-6051,POINT (6.63656 10.99146),POINT,10.99146,6.63656,7692da5e-822f-4fc8-bc99-ae214d453cdb,Kandamin Daka Health Clinic,,Unknown,Unknown,Primary,State Primary HealthCare Development Agency,KD0105,,,Unknown,,,,Magajin Gari 3,19001,Birnin Gwari,KD,Kaduna
sv_fc_poi_health_facilities.fid--71209ea8_166ee56fbef_-6050,POINT (6.569662999978618 11.006943999902546),POINT,11.006943999902546,6.569662999978618,fecaa0ca-9b25-4dbf-8b23-c6e7685f40b0,Goron Dutse Primary Health Center,,Unknown,Unknown,Primary,Public,KD0105,,,Unknown,,,,Magajin Gari 3,19001,Birnin Gwari,KD,Kaduna
sv_fc_poi_health_facilities.fid--71209ea8_166ee56fbef_-604f,POINT (6.77563 11.04717),POINT,11.04717,6.77563,3720fb3a-5169-4124-b336-6c9727143b22,Dariya Clinic And Maternity,,Unknown,Yes,Others,Private,KD0105,,,Unknown,,,,Magajin Gari 3,19001,Birnin Gwari,KD,Kaduna
sv_fc_poi_health_facilities.fid--71209ea8_166ee56fbef_-604e,POINT (6.276390999714067 10.552674000247407),POINT,10.552674000247407,6.276390999714067,83e4c232-0be7-4148-9406-415b02b856e5,Naserewa Health Clinic,,Unknown,Unknown,Primary,Public,KD0106,,,Unknown,,,,Randagi,19001,Birnin Gwari,KD,Kaduna
sv_fc_poi_health_facilities.fid--71209ea8_166ee56fbef_-604d,POINT (6.190154000120117 10.661213999995255),POINT,10.661213999995255,6.190154000120117,1fedaf22-168a-4306-9d03-43c81b9a4ffc,Kimbi Health Post,,Functional,Yes,Primary,Public,KD0106,,,Unknown,,,,Randagi,19001,Birnin Gwari,KD,Kaduna
sv_fc_poi_health_facilities.fid--71209ea8_166ee56fbef_-604c,POINT (6.193901999666707 10.415333999931306),POINT,10.415333999931306,6.193901999666707,cb68d84f-01ce-4af4-a8c1-127889c97a5e,Kuki Health Post,,Functional,Yes,Primary,Public,KD0106,,,Unknown,,,,Randagi,19001,Birnin Gwari,KD,Kaduna
sv_fc_poi_health_facilities.fid--71209ea8_166ee56fbef_-604b,POINT (6.149007000162612 10.551483000438168),POINT,10.551483000438168,6.149007000162612,af478aa2-1b66-4c03-bac9-af521e3b205b,Randangi Primary Health Center,,Functional,Yes,Primary,Public,KD0106,,6,Yes,2018-02-06,,,Randagi,19001,Birnin Gwari,KD,Kaduna
sv_fc_poi_health_facilities.fid--71209ea8_166ee56fbef_-604a,POINT (6.216127999768219 10.558658000313244),POINT,10.558658000313244,6.216127999768219,e730d2f3-9dad-4c05-927a-0f85dc3d00a0,Ijinga Health Post,,Functional,Yes,Primary,Public,KD0106,,,Unknown,,,,Randagi,19001,Birnin Gwari,KD,Kaduna
sv_fc_poi_health_facilities.fid--71209ea8_166ee56fbef_-6049,POINT (6.27724 10.54573),POINT,10.54573,6.27724,9f635b4f-4210-475b-9da3-dc0212a5603c,Bugai Health Clinic,,Unknown,Unknown,Primary,State Primary HealthCare Development Agency,KD0106,,,Unknown,,,,Randagi,19001,Birnin Gwari,KD,Kaduna
sv_fc_poi_health_facilities.fid--71209ea8_166ee56fbef_-6048,POINT (6.274673999547474 10.499608000191529),POINT,10.499608000191529,6.274673999547474,08ddeca3-4923-4c76-8853-a753832f22eb,Kungi Primary Health Center,,Functional,Yes,Primary,Public,KD0106,,,Unknown,,,,Randagi,19001,Birnin Gwari,KD,Kaduna
sv_fc_poi_health_facilities.fid--71209ea8_166ee56fbef_-6047,POINT (6.114944000018454 10.537595000001943),POINT,10.537595000001943,6.114944000018454,407cccd1-6f9d-46f0-b3d5-d742276218a6,Ukuga Health Post,,Functional,Yes,Primary,Public,KD0106,,,Unknown,,,,Randagi,19001,Birnin Gwari,KD,Kaduna
sv_fc_poi_health_facilities.fid--71209ea8_166ee56fbef_-6046,POINT (6.3244850003916895 10.56071799971295),POINT,10.56071799971295,6.3244850003916895,aa80578c-9e3f-4923-8a63-ca5892b6a22c,Dawakin Bassa Health Clinic,,Functional,Yes,Primary,Public,KD0106,,,Unknown,,,,Randagi,19001,Birnin Gwari,KD,Kaduna
sv_fc_poi_health_facilities.fid--71209ea8_166ee56fbef_-6045,POINT (6.383887999753256 10.558537000231013),POINT,10.558537000231013,6.383887999753256,a334061e-ab42-4b0d-be47-28d4401a9c2a,Ungwan Baduku Health Clinic,,Unknown,Unknown,Primary,Public,KD0106,,,Unknown,,,,Randagi,19001,Birnin Gwari,KD,Kaduna
sv_fc_poi_health_facilities.fid--71209ea8_166ee56fbef_-6044,POINT (6.180887999824279 10.606660999929034),POINT,10.606660999929034,6.180887999824279,c2e2679c-8e4f-48c6-9936-6dee3503e0a2,Randagi Kungi Primary Health Center,,Unknown,Unknown,Primary,Public,KD0106,,,Unknown,,,,Randagi,19001,Birnin Gwari,KD,Kaduna
sv_fc_poi_health_facilities.fid--71209ea8_166ee56fbef_-6043,POINT (7.057678 11.03552),POINT,11.03552,7.057678,9025eeca-3eaf-46c8-807b-66e3d288913c,Takama Health Clinic,,Functional,Yes,Primary,State Ministry Of Health,KD0107,,,Unknown,,,,Damari,19001,Birnin Gwari,KD,Kaduna
sv_fc_poi_health_facilities.fid--71209ea8_166ee56fbef_-6042,POINT (7.0450900000089405 11.068093000450403),POINT,11.068093000450403,7.0450900000089405,4c8aac7e-fcfe-4f91-85c8-9bf9d0f3ede3,Kazagi Primary Health Center,,Unknown,Unknown,Primary,Public,KD0107,,,Unknown,,,,Damari,19001,Birnin Gwari,KD,Kaduna
sv_fc_poi_health_facilities.fid--71209ea8_166ee56fbef_-6041,POINT (6.996887207000043 11.048522949000073),POINT,11.048522949000073,6.996887207000043,effa8f4b-1052-4613-b679-127e4b101931,Damari Primary Health Center,Damari Primary Health Center,Unknown,Yes,Primary,State Primary HealthCare Development Agency,KD0107,,,Unknown,,,,Damari,19001,Birnin Gwari,KD,Kaduna
sv_fc_poi_health_facilities.fid--71209ea8_166ee56fbef_-6040,POINT (7.123291 10.97131),POINT,10.97131,7.123291,f7c1a8ba-e20d-40c4-abc9-7c6586fd8028,Ingade Health Clinic,,Functional,Yes,Primary,State Ministry Of Health,KD0107,,,Unknown,,,,Damari,19001,Birnin Gwari,KD,Kaduna
sv_fc_poi_health_facilities.fid--71209ea8_166ee56fbef_-603f,POINT (7.045139999999999 11.067015000000001),POINT,11.067015000000001,7.045139999999999,e3edf191-eeba-4818-8d2c-caf13cf337df,Islamiyah Mallam Sambo Health Center,,Functional,Unknown,Unknown,Unknown,KD0107,,,Unknown,,,,Damari,19001,Birnin Gwari,KD,Kaduna
sv_fc_poi_health_facilities.fid--71209ea8_166ee56fbef_-603e,POINT (7.094959999893263 11.118302999565742),POINT,11.118302999565742,7.094959999893263,13239b7b-c0ee-4ea9-b49f-c456111eba70,Dogon Dawa Health Center,,Functional,Yes,Primary,Public,KD0108,,,Yes,2018-02-06,,,Dogondawa,19001,Birnin Gwari,KD,Kaduna
sv_fc_poi_health_facilities.fid--71209ea8_166ee56fbef_-603d,POINT (7.094925999870156 11.037124000408426),POINT,11.037124000408426,7.094925999870156,ed83018a-d54e-495f-bc23-0338e8e0e83e,Dongodwa Model Primary Health Center,,Unknown,Yes,Primary,Public,KD0108,,4,Yes,,,,Dogondawa,19001,Birnin Gwari,KD,Kaduna
sv_fc_poi_health_facilities.fid--71209ea8_166ee56fbef_-603c,POINT (7.12624 11.11276),POINT,11.11276,7.12624,ab950638-aba7-4719-ae52-f90822d017bd,Saminaka Health Center,,Functional,Yes,Primary,State Primary HealthCare Development Agency,KD0108,,,Unknown,,,,Dogondawa,19001,Birnin Gwari,KD,Kaduna
sv_fc_poi_health_facilities.fid--71209ea8_166ee56fbef_-603b,POINT (7.132669999515429 11.041421000328),POINT,11.041421000328,7.132669999515429,d02b62a5-689c-4377-9df9-d8e9c5606031,Funtua Badadi Health Post,,Functional,Yes,Primary,Public,KD0108,,,Unknown,,,,Dogondawa,19001,Birnin Gwari,KD,Kaduna
sv_fc_poi_health_facilities.fid--71209ea8_166ee56fbef_-603a,POINT (7.004731666999999 11.115076670000002),POINT,11.115076670000002,7.004731666999999,8da19b72-2ad6-443f-b4eb-1cdda2f64f3f,Unguwan Gajere Primary Health Center,,Functional,Unknown,Unknown,Unknown,KD0109,,,Unknown,,,,Kutemeshi,19001,Birnin Gwari,KD,Kaduna
sv_fc_poi_health_facilities.fid--71209ea8_166ee56fbef_-6039,POINT (7.051697 11.17493),POINT,11.17493,7.051697,4d14c4cb-ff06-4cb1-9a0d-c04a982f60a2,Kutemeshi Health Clinic,,Unknown,Unknown,Primary,State Ministry Of Health,KD0109,,,Unknown,,,,Kutemeshi,19001,Birnin Gwari,KD,Kaduna
sv_fc_poi_health_facilities.fid--71209ea8_166ee56fbef_-6038,POINT (7.000398999643494 11.120481000045572),POINT,11.120481000045572,7.000398999643494,85ccea1b-9fd6-4eeb-b9bc-a954325fb3a5,Kutemeshi Health Center,,Functional,Yes,Primary,Public,KD0109,,2,Yes,2018-02-06,,,Kutemeshi,19001,Birnin Gwari,KD,Kaduna
sv_fc_poi_health_facilities.fid--71209ea8_166ee56fbef_-6037,POINT (7.070839127083156 11.182636775218047),POINT,11.182636775218047,7.070839127083156,df1589d7-4879-4a4f-bd5c-0b9813f5c6b4,Labi Health Clinic,,Unknown,Unknown,Unknown,Others,KD0109,,,Unknown,,,,Kutemeshi,19001,Birnin Gwari,KD,Kaduna
sv_fc_poi_health_facilities.fid--71209ea8_166ee56fbef_-6036,POINT (6.78667500042809 11.266839000488972),POINT,11.266839000488972,6.78667500042809,1ef002d8-3d4d-4869-90c2-52e43f654f1f,Ungwan Zakara Health Clinic,,Unknown,Unknown,Primary,Public,KD0110,,,Unknown,,,,Kuyello,19001,Birnin Gwari,KD,Kaduna
sv_fc_poi_health_facilities.fid--71209ea8_166ee56fbef_-6035,POINT (6.990913000198191 11.180569999873228),POINT,11.180569999873228,6.990913000198191,0489e5ae-4054-4e7a-b700-d7c45b329c62,Kuyello Health Center,,Unknown,Unknown,Primary,Public,KD0110,,,Unknown,,,,Kuyello,19001,Birnin Gwari,KD,Kaduna
sv_fc_poi_health_facilities.fid--71209ea8_166ee56fbef_-6034,POINT (6.96079 11.25517),POINT,11.25517,6.96079,cbf10e0a-87c7-407f-8183-4bbc960b9461,Mamman Yalwa Health Center,,Unknown,Yes,Primary,State Primary HealthCare Development Agency,KD0110,,,Unknown,,,,Kuyello,19001,Birnin Gwari,KD,Kaduna
sv_fc_poi_health_facilities.fid--71209ea8_166ee56fbef_-6033,POINT (6.78816 11.17746),POINT,11.17746,6.78816,875d512a-2a53-42a9-b6ba-aba4e4ecabf5,Mai Kasuwa Health Center,,Unknown,Unknown,Primary,State Primary HealthCare Development Agency,KD0110,,,Unknown,,,,Kuyello,19001,Birnin Gwari,KD,Kaduna
sv_fc_poi_health_facilities.fid--71209ea8_166ee56fbef_-6032,POINT (6.85345 11.16395),POINT,11.16395,6.85345,8ef6620c-294a-4a48-ba22-1feffac9ba23,Kwaza Kwaza Health Center,,Unknown,Unknown,Primary,State Primary HealthCare Development Agency,KD0110,,,Unknown,,,,Kuyello,19001,Birnin Gwari,KD,Kaduna
sv_fc_poi_health_facilities.fid--71209ea8_166ee56fbef_-6031,POINT (6.96561 11.18375),POINT,11.18375,6.96561,226a780d-d76e-4561-ab14-e1ad2740af66,Yankan Dutse Health Center,,Functional,Yes,Primary,State Primary HealthCare Development Agency,KD0110,,,Unknown,,,,Kuyello,19001,Birnin Gwari,KD,Kaduna
sv_fc_poi_health_facilities.fid--71209ea8_166ee56fbef_-6030,POINT (6.976088333 11.223673329999999),POINT,11.223673329999999,6.976088333,7fa1e5c0-6cd8-46a7-8b83-9e2882b78399,Dinya Primary Health Center,,Functional,Unknown,Unknown,Unknown,KD0110,,,Unknown,,,,Kuyello,19001,Birnin Gwari,KD,Kaduna
